id_votant,bureau_vote,candidat_choisi
2383,Marseille,Jean Ticipe
1238,Bordeaux,Alain Broglio
4136,Strasbourg,Luc Ratif
2227,Bordeaux,Jean Némarre
4685,Brest,Jean Némarre
2253,Montpellier,Jean Némarre
255,Toulon,Jean Ticipe
4491,Nantes,Jean Némarre
2160,Grenoble,Jean Némarre
4767,Strasbourg,Jean Ticipe
3676,Angers,Alain Broglio
4522,Lyon,Jean Némarre
3497,Montpellier,Jean Ticipe
2505,Limoges,Marie Rouanna
4239,Grenoble,Alain Broglio
3812,Rennes,Alain Broglio
4611,Limoges,Jean Ticipe
3262,Nice,Jean Ticipe
4505,Clermont-Ferrand,Jean Ticipe
4582,Marseille,Marie Rouanna
3306,Tours,Jean Némarre
1712,Marseille,Éva Sionfiscal
1614,Nice,Alain Broglio
979,Bordeaux,Jean Ticipe
524,Brest,Marie Rouanna
3511,Clermont-Ferrand,Jean Némarre
4738,Bordeaux,Alain Broglio
3004,Nice,Jean Némarre
3855,Le Havre,Jean Ticipe
1282,Reims,Marie Rouanna
3798,Bordeaux,Jean Némarre
1243,Paris,Alain Broglio
1423,Le Havre,Éva Sionfiscal
242,Saint-Étienne,Alain Broglio
4893,Reims,Alain Broglio
1773,Nîmes,Alain Broglio
4836,Rennes,Éva Sionfiscal
691,Nîmes,Alain Broglio
4946,Reims,Marie Rouanna
4671,Lyon,Luc Ratif
801,Saint-Étienne,Éva Sionfiscal
705,Rennes,Alain Broglio
1743,Limoges,Alain Broglio
1695,Le Havre,Jean Némarre
1782,Toulon,Jean Némarre
317,Lille,Jean Ticipe
1596,Aix-en-Provence,Alain Broglio
1274,Nice,Marie Rouanna
1470,Limoges,Jean Némarre
4287,Rennes,Marie Rouanna
4522,Angers,Jean Ticipe
104,Brest,Jean Ticipe
3425,Strasbourg,Marie Rouanna
2898,Nice,Luc Ratif
168,Toulon,Jean Némarre
3499,Nîmes,Jean Ticipe
2310,Toulouse,Marie Rouanna
3550,Saint-Étienne,Jean Némarre
3997,Aix-en-Provence,Marie Rouanna
2524,Angers,Éva Sionfiscal
3844,Nice,Marie Rouanna
2770,Saint-Étienne,Marie Rouanna
3615,Tours,Jean Ticipe
1777,Grenoble,Éva Sionfiscal
4156,Bordeaux,Marie Rouanna
2593,Strasbourg,Jean Ticipe
841,Brest,Éva Sionfiscal
348,Toulouse,Marie Rouanna
4326,Limoges,Jean Ticipe
2529,Strasbourg,Marie Rouanna
4723,Montpellier,Marie Rouanna
1970,Nice,Jean Némarre
465,Reims,Jean Ticipe
1528,Tours,Alain Broglio
2948,Toulon,Marie Rouanna
4697,Saint-Étienne,Luc Ratif
3898,Lyon,Alain Broglio
3151,Toulouse,Marie Rouanna
1002,Paris,Jean Ticipe
588,Brest,Marie Rouanna
3191,Villeurbanne,Jean Ticipe
3369,Villeurbanne,Luc Ratif
4562,Clermont-Ferrand,Alain Broglio
820,Nîmes,Luc Ratif
2092,Rennes,Jean Ticipe
974,Nîmes,Éva Sionfiscal
213,Nîmes,Marie Rouanna
1325,Angers,Jean Némarre
1847,Montpellier,Éva Sionfiscal
3206,Toulon,Jean Némarre
4626,Marseille,Éva Sionfiscal
3823,Le Havre,Marie Rouanna
742,Limoges,Alain Broglio
402,Villeurbanne,Alain Broglio
1311,Le Havre,Marie Rouanna
3972,Toulon,Alain Broglio
436,Lyon,Jean Némarre
3390,Villeurbanne,Marie Rouanna
2523,Aix-en-Provence,Jean Ticipe
651,Villeurbanne,Éva Sionfiscal
2680,Toulon,Marie Rouanna
654,Toulon,Marie Rouanna
2586,Nice,Jean Némarre
4840,Clermont-Ferrand,Jean Némarre
1031,Le Havre,Jean Ticipe
2424,Grenoble,Alain Broglio
1179,Toulouse,Marie Rouanna
3140,Aix-en-Provence,Jean Némarre
445,Rennes,Alain Broglio
3824,Aix-en-Provence,Éva Sionfiscal
205,Reims,Luc Ratif
131,Strasbourg,Jean Ticipe
3798,Bordeaux,Jean Ticipe
1153,Clermont-Ferrand,Jean Némarre
1895,Aix-en-Provence,Alain Broglio
4223,Reims,Marie Rouanna
271,Bordeaux,Éva Sionfiscal
4239,Nice,Alain Broglio
3632,Saint-Étienne,Marie Rouanna
2962,Aix-en-Provence,Jean Ticipe
4667,Bordeaux,Éva Sionfiscal
798,Limoges,Jean Némarre
1333,Marseille,Luc Ratif
2025,Angers,Jean Némarre
825,Villeurbanne,Alain Broglio
1063,Bordeaux,Marie Rouanna
4119,Toulouse,Luc Ratif
1985,Aix-en-Provence,Marie Rouanna
1274,Toulouse,Luc Ratif
2165,Angers,Alain Broglio
2032,Grenoble,Éva Sionfiscal
1699,Villeurbanne,Luc Ratif
3066,Marseille,Jean Ticipe
734,Nice,Marie Rouanna
2314,Bordeaux,Alain Broglio
941,Strasbourg,Alain Broglio
851,Lille,Jean Némarre
4300,Nîmes,Jean Némarre
4588,Lille,Jean Ticipe
1298,Tours,Alain Broglio
530,Grenoble,Marie Rouanna
3039,Rennes,Marie Rouanna
953,Toulouse,Alain Broglio
1830,Clermont-Ferrand,Jean Némarre
2456,Marseille,Jean Némarre
2263,Toulouse,Éva Sionfiscal
4201,Lille,Marie Rouanna
1166,Montpellier,Jean Ticipe
3926,Lyon,Marie Rouanna
1515,Dijon,Marie Rouanna
3896,Lyon,Alain Broglio
4538,Le Havre,Jean Némarre
4614,Clermont-Ferrand,Jean Ticipe
4378,Grenoble,Éva Sionfiscal
2009,Rennes,Marie Rouanna
789,Tours,Marie Rouanna
4171,Lyon,Jean Ticipe
3052,Strasbourg,Luc Ratif
3806,Reims,Luc Ratif
3548,Toulouse,Marie Rouanna
3041,Montpellier,Jean Némarre
4396,Nice,Alain Broglio
4608,Tours,Marie Rouanna
4148,Marseille,Marie Rouanna
3799,Lyon,Jean Némarre
2203,Angers,Alain Broglio
570,Toulon,Marie Rouanna
1898,Reims,Marie Rouanna
2426,Saint-Étienne,Jean Némarre
1734,Tours,Marie Rouanna
949,Nîmes,Marie Rouanna
3007,Saint-Étienne,Jean Ticipe
1016,Nîmes,Jean Némarre
3026,Marseille,Jean Ticipe
4687,Strasbourg,Alain Broglio
1940,Nîmes,Marie Rouanna
2388,Toulouse,Jean Némarre
4567,Montpellier,Éva Sionfiscal
2726,Limoges,Marie Rouanna
3749,Brest,Éva Sionfiscal
4161,Montpellier,Jean Némarre
2858,Montpellier,Luc Ratif
734,Le Havre,Luc Ratif
4286,Bordeaux,Luc Ratif
2883,Dijon,Luc Ratif
3324,Montpellier,Marie Rouanna
2837,Dijon,Luc Ratif
3487,Paris,Luc Ratif
4371,Dijon,Éva Sionfiscal
1315,Clermont-Ferrand,Jean Némarre
1298,Nice,Éva Sionfiscal
4019,Nice,Alain Broglio
204,Dijon,Alain Broglio
3784,Toulouse,Alain Broglio
2237,Marseille,Alain Broglio
4743,Clermont-Ferrand,Éva Sionfiscal
3615,Lyon,Luc Ratif
4815,Villeurbanne,Alain Broglio
3292,Dijon,Jean Ticipe
1644,Angers,Éva Sionfiscal
3209,Bordeaux,Jean Ticipe
1172,Rennes,Jean Némarre
